phase_id,milestone_id,phase_name,milestone,owner_lane,deliverable,success_criteria,value_provided,target_window_days,priority,status,human_gate
0,M0.1,Production honesty,Vercel identity decision,Platform + Frank,Single canonical project owns arcanea.ai,Domain on reviewed project; duplicates non-canonical,Trust / no deploy chaos,0-14,P0,pending,yes
0,M0.2,Production honesty,Reviewed production promote,Product Loop,Green build promote,Live commit SHA == release candidate,Users see real product,0-14,P0,pending,yes
0,M0.3,Production honesty,Soft-404 purge,Product Loop,Core activation routes,0 soft-404s on core path,Activation unblocked,0-14,P0,pending,no
0,M0.4,Production honesty,Waitlist fail-closed,Product Loop,DB + API error handling,Forced DB error non-200,Lead capture integrity,0-14,P0,pending,no
0,M0.5,Production honesty,Legal baseline,Legal + Frank,Terms Privacy AUP live,Footer links present,Headache reduction,0-14,P0,pending,yes
0,M0.6,Production honesty,Honest counters,GTM,Remove fake stats,No false vanity metrics,Brand trust,0-14,P0,pending,no
0,M0.7,Production honesty,CI cost gates,Platform,Draft PR heavy job skips,Concurrency paths draft gates,CI bill control,0-14,P1,pending,no
1,M1.1,Activation loop,Genesis UX,Product Loop,Guided first world,Median time measured target <=10m stretch <=3m,Core JTBD,7-35,P0,pending,no
1,M1.2,Activation loop,Proof artifact,Product Loop,Keepable card/export,proof_created and proof_kept events,NSM live,7-35,P0,pending,no
1,M1.3,Activation loop,Instrumentation,Platform,Consented analytics,Funnel visit-genesis-keep reportable,Evidence-led decisions,7-35,P0,pending,no
1,M1.4,Activation loop,BYOK vault UX,Product Loop,Settings + provider deep links,Guided key setup no dead-end,Power user convert,7-35,P0,pending,no
1,M1.5,Activation loop,Hosted lite path,Product + Frank,Capped free gens or demo,Proof without API keys,Mainstream UX,7-35,P0,pending,yes
1,M1.6,Activation loop,Taste dual-rail QA,Fable 5,Chrome vs world media,No world art as chrome; gates pass,Premium feel,7-35,P1,pending,no
2,M2.1,First revenue,MoR choice,Frank,Polar or LS/Paddle decision,Written decision in strategy pack,Tax/legal simplicity,21-50,P0,pending,yes
2,M2.2,First revenue,MoR integration,Platform,Products webhooks entitlements,Test purchase entitles user,First $ path,21-50,P0,pending,yes
