id,campaign_id,source_asset_id,channel_key,platforms,ratio,width,height,sha256,headline,gate,guardian,score30,output_path,source_method,rights_status,approval_gate,created_at
"arc-social-033-fire-gate-forge-titan-instagram-feed-4x5","arc-social-033-fire-gate-forge-titan","arc-visual-033","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","105fd9575aa53884976031ad246d29aab00e59064ec3941593c5b72ba5a342c4","Power That Builds","Fire","Draconia","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-033-fire-gate-forge-titan-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-033-fire-gate-forge-titan-vertical-9x16","arc-social-033-fire-gate-forge-titan","arc-visual-033","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","0406bddd083cae2382eaa64a83c92c20ac34f20641508ebc234bef934171c1ed","Power That Builds","Fire","Draconia","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-033-fire-gate-forge-titan-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-033-fire-gate-forge-titan-square-1x1","arc-social-033-fire-gate-forge-titan","arc-visual-033","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","a1544309b7c788d43733f29971dc5231fb6a61b83d6af8dc872510d9ead93f66","Power That Builds","Fire","Draconia","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-033-fire-gate-forge-titan-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-033-fire-gate-forge-titan-wide-16x9","arc-social-033-fire-gate-forge-titan","arc-visual-033","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","867a0bb86c31b88c58f53bf32ed53415f6daa5135a5ff9cf9c564ffbd109d280","Power That Builds","Fire","Draconia","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-033-fire-gate-forge-titan-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-028-heart-realm-living-ark-instagram-feed-4x5","arc-social-028-heart-realm-living-ark","arc-visual-028","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","5dbfb6aa2d90d3d579502b68f16a35bb6e4be696af937c57e0bd138db0c34508","Scale Is A Responsibility","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-028-heart-realm-living-ark-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-028-heart-realm-living-ark-vertical-9x16","arc-social-028-heart-realm-living-ark","arc-visual-028","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","ef41593d02d46e8bf8cb379072d3d22612a0b0b0f9471f8749fe20db97a0d42f","Scale Is A Responsibility","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-028-heart-realm-living-ark-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-028-heart-realm-living-ark-square-1x1","arc-social-028-heart-realm-living-ark","arc-visual-028","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","1f6f6edbf10c9b8b3331fcb22dd6e24401f1229ddd1aa3a8a632915c543cc0c9","Scale Is A Responsibility","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-028-heart-realm-living-ark-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-028-heart-realm-living-ark-wide-16x9","arc-social-028-heart-realm-living-ark","arc-visual-028","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","a33d8bcce3596d2a6ac168d28fbc8da90f84ea9c3aad79d5bd81a9ae455e3793","Scale Is A Responsibility","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-028-heart-realm-living-ark-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-025-world-tower-practice-instagram-feed-4x5","arc-social-025-world-tower-practice","arc-visual-025","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","e795c84bf6330dc424985a01a7d09b9e1e614634f7d70fc67ee2ab8b751c7052","A World Big Enough To Practice In","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-025-world-tower-practice-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-025-world-tower-practice-vertical-9x16","arc-social-025-world-tower-practice","arc-visual-025","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","5350517cb9419a196b8af1bb07627fccefe9f5b70dacf19720dab71241a23728","A World Big Enough To Practice In","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-025-world-tower-practice-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-025-world-tower-practice-square-1x1","arc-social-025-world-tower-practice","arc-visual-025","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","95d0044cfdd1eeeb09eb6a222e77549a0ee012fdff5b09917bba4c17230ba893","A World Big Enough To Practice In","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-025-world-tower-practice-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-025-world-tower-practice-wide-16x9","arc-social-025-world-tower-practice","arc-visual-025","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","325007e3aacbbf5e114c61af26a9c581e54135c10dc06f8e75d318356ce5feb6","A World Big Enough To Practice In","Heart","Maylinn","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-025-world-tower-practice-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-027-music-portal-bloom-instagram-feed-4x5","arc-social-027-music-portal-bloom","arc-visual-027","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","4f283158cc35eb9bdc01b1a54e73b846136e2418eabac1e817a11e0548c94c37","Make The Song Visible","Voice","Alera","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-027-music-portal-bloom-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-027-music-portal-bloom-vertical-9x16","arc-social-027-music-portal-bloom","arc-visual-027","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","5742f7baf01076630576df94a73bb111b2ad18d158a8a8c7537bd563e1140379","Make The Song Visible","Voice","Alera","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-027-music-portal-bloom-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-027-music-portal-bloom-square-1x1","arc-social-027-music-portal-bloom","arc-visual-027","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","acab10727246a06cd1b676560e8669b41192d6c870aed508084b1b8e044f8523","Make The Song Visible","Voice","Alera","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-027-music-portal-bloom-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-027-music-portal-bloom-wide-16x9","arc-social-027-music-portal-bloom","arc-visual-027","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","041b4b38c27530d94ae90e7ddef749cb0773970711e84a55833974c56ca9dcb4","Make The Song Visible","Voice","Alera","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-027-music-portal-bloom-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-031-luminor-rank-proof-instagram-feed-4x5","arc-social-031-luminor-rank-proof","arc-visual-031","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","0bd14f6f6924d3dd3c2464f776801c6a5526cc02b8aafedc437b38a206e2f9e7","Luminor Is Earned","Source","Shinkami","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-031-luminor-rank-proof-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-031-luminor-rank-proof-vertical-9x16","arc-social-031-luminor-rank-proof","arc-visual-031","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","2b9018dc0fddfb7d7ce1236a9bf8d69548cc12679e8fabba7d2a451cd5e50c43","Luminor Is Earned","Source","Shinkami","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-031-luminor-rank-proof-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
