"batch_id","asset_id","status","lane","use_case","asset_type","quality_score","canon_score","design_score","photography_score","text_score","gate_30_score","gate_verdict","ship_status","recalibrated_at","failure_modes","quality_bar","overall_grade","generated_at","workspace_path","source_path","prompt_ref","prompt_summary","recap","critic_notes","next_improvement","next_prompt_delta","skill_mode"
"gr-w1","gr-w1-01-arion","generated","character-anchor","stylized-concept","4:5 character plate","8.0","9","8","8.5","10","24","iterate","concept keeper","","Five elemental fields rendered as floating game-UI icons (flame/droplet/wind pictograms) — symbol artifacts instead of physical magic.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-07-06","images/wave1/gr-w1-01-arion.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233135_6edc0acf-b9ed-4b7f-81eb-6778c913c3d6.png","briefs/wave1-character-anchors.md#w1-01","Arion Confluence anchor plate, photoreal editorial","Grounded stance, buildable costume, strong silhouette, on-palette hall.","Element display must be physical distortion, not iconography. Wrench keepsake reads slightly literal.","Re-roll with heat-shimmer + lifted dust language, ban symbols/orbs/icons.","effect-language: pressure fields -> physical shimmer/dust only","god-run fable5"
"gr-w1","gr-w1-02-mera","generated","character-anchor","illustration-story","4:5 key art","8.7","9","9","8.5","10","26","approve","ship as story art","","Style drift: painterly illustration while rest of set is photoreal — inconsistent for anchor set, excellent as story art.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A-","2026-07-06","images/wave1/gr-w1-02-mera.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233144_0b84e585-9bd9-4641-a188-a0e498a8efaf.png","briefs/wave1-character-anchors.md#w1-02","Mera water-memory witness, painterly underwater corridor","Single memory-lens with silhouetted scene reads perfectly; palette exact; costume mobile and modest.","Keep as painterly story-lane winner; photoreal anchor version re-rolled separately.","Declare house style explicitly in every prompt or NB2 drifts between photoreal and illustration.","style-lock: name the lane (photoreal film still vs painterly epic) in prompt","god-run fable5"
"gr-w1","gr-w1-03-emilia","generated","character-anchor","stylized-concept","4:5 character plate","8.5","2","9","9","10","18","restart","do not publish","","CRITICAL: face is a recognizable real actress (name-collision likeness) — legal/ethical fail; cannot ship a real person's likeness.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","F-blocked","2026-07-06","images/wave1/gr-w1-03-emilia.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233147_b87909d8-01f4-488a-98b1-5948d17731dc.png",".loop/arcanea-image-engines/briefs/brief-emilia-prisma-gauntlet.md","Emilia Prisma gauntlet reading at workbench","Gauntlet construction, refraction bands, workbench lighting all exactly per brief — composition is the keeper.","Character names colliding with real actors steer NB2 into celebrity likeness. Never publish.","Always append anti-likeness clause + concrete original facial features for named characters.","anti-likeness: mandatory clause + distinct feature spec","god-run fable5"
"gr-w1","gr-w1-04-akamoto","generated","character-anchor","stylized-concept","4:5 character plate","9.0","9","9","9","10","27","approve","ship","","Dragon shows full head rather than flank+eye per brief — acceptable, presence still restrained.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A","2026-07-06","images/wave1/gr-w1-04-akamoto.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233152_1c0c52bd-fe8f-455e-bc8f-da5a42edfe9b.png","briefs/wave1-character-anchors.md#w1-04","Akamoto roost mentor at dusk with bonded dragon presence","Weathered natural face, honest repair-marked harness, amber dragon eye, on-palette dusk + braziers.","Anchor approved. Use as Akamoto reference for future consistency lane.","","","god-run fable5"
"gr-w1","gr-w1-05-mamoru","generated","character-anchor-STAGING","stylized-concept","4:5 character plate","9.0","8","9","9","10","27","approve","ship-staging (pending Frank approval of Mamoru)","","Armor reads classic plate more than alloy-over-weave; acceptable for protector read.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A","2026-07-06","images/wave1/gr-w1-05-mamoru.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233158_a0315f04-13c3-403a-91c6-d450c7f4af78.png","briefs/wave1-character-anchors.md#w1-05","Mamoru vanguard shield-diver at dungeon threshold","Warm tired grin nails the protector read; dented tower shield with single teal ward-rim; buildable kit.","STAGING character — do not wire into canon surfaces until Frank approves STAGING_MAMORU.md.","","","god-run fable5"
"gr-w1","gr-w1-01b-arion-v2","generated","character-anchor","stylized-concept","4:5 character plate","9.0","9","9","9","10","27","approve","ship","","Heat-shimmer reads slightly like smoke behind shoulder; cloak outer more brown-rustic than void-dark.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A","2026-07-06","images/wave1/gr-w1-01b-arion-v2.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233539_57404eb0-2fee-467f-93ea-e5b08fff088b.png","briefs/wave1-character-anchors.md#w1-01","Arion anchor v2 — physical-distortion magic fix","Icon artifacts eliminated; pebbles lift around boots, repaired wrench in hand humanizes; original face.","APPROVED ANCHOR. Use as Arion reference for consistency lane.","","","god-run fable5"
"gr-w1","gr-w1-03b-emilia-v2","generated","character-anchor","stylized-concept","4:5 character plate","9.3","9","9.5","9.5","10","28","approve","ship","","Gauntlet fully encloses the hand — expressive fingers lost (sidesteps anatomy risk but less human).","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A","2026-07-06","images/wave1/gr-w1-03b-emilia-v2.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233547_bc036fa3-a543-4b82-81df-5e256faebdd0.png","briefs/wave1-character-anchors.md#w1-03","Emilia anchor v2 — anti-likeness fix, original features","Fully original face (auburn bun, brow scar, freckles); separated spectrum bands exactly per doctrine; top-of-feed grade.","APPROVED ANCHOR. Anti-likeness clause is now mandatory doctrine.","Try fingers-visible gauntlet variant in a later consistency pass.","","god-run fable5"
"gr-w1","gr-w1-02b-mera-photoreal","generated","character-anchor","stylized-concept","4:5 character plate","9.3","9","9","9.5","10","28","approve","ship","","Jacket reads leather-like rather than woven fabric; acceptable.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A","2026-07-06","images/wave1/gr-w1-02b-mera-photoreal.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_233555_c2507b99-1f12-4025-8a27-9ae1bc5bc830.png","briefs/wave1-character-anchors.md#w1-02","Mera photoreal anchor — flooded archive film still","Knee-deep flooded archive, single memory-sphere with seated silhouette, warm gold face accent — wave-1 standout.","APPROVED ANCHOR. Painterly v1 remains approved as story-lane art.","","","god-run fable5"
"gr-w5","gr-w5-01-webtoon-gate","generated","style-probe-webtoon","illustration-story","4:5 webtoon panel","8.7","9","8.5","8.5","10","26","approve","ship-staging (contains Mamoru)","","Arion slightly stiff behind shield line; gate arch could breathe more darkness.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A-","2026-07-06","images/wave5-style/gr-w5-01-webtoon-gate.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_234400_8e99609d-e6b4-4866-98e5-2efe50bf1a90.png","(inline style probe)","Mamoru+Arion webtoon gate panel, manhwa cel style","Webtoon lane VALIDATED: clean lineart, teal ward-rim + gold gate seam on palette, protector dynamic reads instantly.","Manhwa lane is viable for story serialization; keep single-effect discipline.","","style-lock works both directions","god-run fable5"
"gr-w5","gr-w5-02-anime-keyvisual","generated","style-probe-anime","illustration-story","16:9 anime key visual","9.0","9","9","9","10","27","approve","ship-staging (contains Mamoru)","","Emilia in heeled boots (minor practicality miss); tower reads slightly ruin-like vs lived-in.","30 point gate: 26+ approve, 22-25 iterate, 0-21 restart","A","2026-07-06","images/wave5-style/gr-w5-02-anime-keyvisual.png","https://d8j0ntlcm91z4.cloudfront.net/user_32GhXb30ZEIgk6EA10e5RYFiKSg/hf_20260705_234406_f4c8c065-a3a8-436c-ac24-098edb6df6ac.png","(inline style probe)","Four students anime opening frame, world-tower + dragon","Anime lane VALIDATED: all four stay on-model across style transfer — anchor design language holds. Feed-grade group shot.","Character design specs are now portable across photoreal/webtoon/anime lanes.","","","god-run fable5"
