"batch_id","asset_id","status","lane","use_case","asset_type","quality_score","canon_score","design_score","photography_score","text_score","gate_30_score","gate_verdict","ship_status","recalibrated_at","failure_modes","quality_bar","overall_grade","generated_at","workspace_path","source_path","prompt_ref","prompt_summary","recap","critic_notes","next_improvement","next_prompt_delta","skill_mode"
"batch-000","batch-000-01","generated","canon","stylized-concept","vertical hero poster","8.0","","","","","24","iterate","concept keeper","2026-06-26T21:50:51","Effect density, generic hero-poster polish, needs stronger body mechanics.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:11:51","images/batch-000/batch-000-01.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0c1f7ca09ad7e841016a3dda502cec8191ba4331f63f8dbc0a.png","prompts.jsonl#batch-000-01","Arcanean Confluence Avatar in full hero state with five elements plus prism synthesis.","Strong mythic clarity and central hero silhouette.","Good confluence read, but not competition-final. Simplify element orbits and make bending anatomy-led.","Regenerate with one grounded stance, fewer rings, sharper costume construction.","","built-in image_gen"
"batch-000","batch-000-02","generated","story","illustration-story","wide ensemble key art","7.7","","","","","23","iterate","concept keeper","2026-06-26T21:50:51","Ensemble density, small faces, distant world collage.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B","2026-06-26T04:11:51","images/batch-000/batch-000-02.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0c1f7ca09ad7e841016a3ddaf543e88191a827cd20ce9b7b0a.png","prompts.jsonl#batch-000-02","Arion, Mera, Emilia, Akamoto, and dragon crew story poster.","Good character-role separation and world stakes.","Useful story board, but the crew needs clearer hierarchy and less background mythology in one frame.","Create separate hero trio and mentor/dragon plates before final ensemble.","","built-in image_gen"
"batch-000","batch-000-03","generated","publishing","product-mockup","book saga campaign visual","7.9","","","","","24","iterate","concept keeper","2026-06-26T21:50:51","Fake book typography risk, ornate publishing render, small world details.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:11:51","images/batch-000/batch-000-03.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0c1f7ca09ad7e841016a3ddb91f8888191bc6237a860b076f7.png","prompts.jsonl#batch-000-03","Premium Arcanea saga books and luminous codex with worlds rising from pages.","Premium publishing artifact feel with strong campaign potential.","Premium object direction is right, but final publishing visuals need deterministic cover/text design.","Use generated art as background only; compose exact book covers in HTML/Figma/Canva.","","built-in image_gen"
"batch-000","batch-000-04","generated","strategy","infographic-diagram","wide system infographic","6.7","","","","","20","restart","do not publish","2026-06-26T21:50:51","Generated infographic text risk, too many labels, low exactness.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","C","2026-06-26T04:11:51","images/batch-000/batch-000-04.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0c1f7ca09ad7e841016a3ddc2a7d3c8191a602094a036b7ae8.png","prompts.jsonl#batch-000-04","Grand Convergence system map showing Source, Weave, Gates, Bending, Avatars, Worlds, Creators.","Readable concept overview with good structure.","Generated-image infographics are the wrong tool for exact text-heavy systems.","Rebuild as deterministic SVG/HTML infographic with generated art only as texture.","","built-in image_gen"
"batch-001","batch-001-01","generated","site","ads-marketing","Arcanea homepage hero visual","8.0","","","","","24","iterate","concept keeper","2026-06-26T21:50:51","Hero density, architecture leans generic academy, crop still needs surface test.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:17:17","images/batch-001/batch-001-01.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0773f747b8cc19a0016a3ddfedfaf881918c2b5a2a7a008d00.png","prompts.jsonl#batch-001-01","Starlight Academy as premium site hero, with world graph, dragon terraces, and creator portal.","Excellent site hero candidate: premium academy, useful negative space, and world-graph focus.","Promising site mood, but needs fewer spires and stronger first-read object.","Regenerate with one creator portal, larger negative space, and simpler academy silhouette.","","built-in image_gen"
"batch-001","batch-001-02","generated","social","ads-marketing","origin classes social reveal poster","8.0","","","","","24","iterate","concept keeper","2026-06-26T21:50:51","Character-select density, tiny label risk, uneven class distinctiveness.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:17:17","images/batch-001/batch-001-02.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0773f747b8cc19a0016a3de023f2908191849a4d33547cc2f1.png","prompts.jsonl#batch-001-02","Eight Origin Classes lineup for social launch campaign.","Best social asset so far: clean title, eight distinct silhouettes, and strong campaign energy.","Good campaign direction; not final until each Origin Class has a cleaner individual design.","Generate one-class-per-image posters with consistent silhouette rules.","","built-in image_gen"
"batch-001","batch-001-03","generated","product","ui-mockup","creator workspace product visual","8.2","","","","","25","iterate","near approval","2026-06-26T21:50:51","Fake UI/data risk, decorative glow, not enough exact product evidence.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:17:18","images/batch-001/batch-001-03.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0773f747b8cc19a0016a3de06511ac819182a00acc4d8bfd55.png","prompts.jsonl#batch-001-03","Arcanea creator workspace with lore graph, prompt queue, image gallery, and provenance panel.","Useful product visual: workspace, graph, creations, provenance, and prompt queue read clearly.","Useful product-marketing visual; exact UI should be coded, not image-generated.","Create deterministic screenshot mock and use generated art as thumbnails only.","","built-in image_gen"
"batch-001","batch-001-04","generated","lore-social","illustration-story","Prisma City lore and social visual","8.0","","","","","24","iterate","concept keeper","2026-06-26T21:50:51","Rainbow overload risk, civic detail density, needs one craft scene.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:17:18","images/batch-001/batch-001-04.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0773f747b8cc19a0016a3de0e54b788191b5057221318e5815.png","prompts.jsonl#batch-001-04","Prisma City where people bend color into architecture, markets, and tools.","Strong lore/social image: color-bending feels civic, humane, and physically practiced.","Prisma City has strong lore potential, but needs a more specific body-led craft moment.","Street-level color-bending workshop with one artisan and one built object.","","built-in image_gen"
"batch-002","batch-002-01","generated","lore","infographic-diagram","Ten Gates ceremonial map","6.5","","","","","19","restart","do not publish","2026-06-26T21:50:51","Text-heavy generated diagram, ceremonial clutter, exactness risk.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","C","2026-06-26T04:38:51","images/batch-002/batch-002-01.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0e64470b3faaf42f016a3de45f3c388191b7cb387437a6fc95.png","prompts.jsonl#batch-002-01","Ten Gates as premium ceremonial system map without frequency labels.","Strong ceremonial structure, but too much secondary text for a final infographic.","Wrong production method for final lore diagram.","Rebuild as SVG/HTML 10-node ring with exact labels.","","built-in image_gen"
"batch-002","batch-002-02","generated","lore","logo-brand","Seven Academy Houses crest sheet","8.2","","","","","25","iterate","near approval","2026-06-26T21:50:51","Crest details may not survive vector/small-size tests, house names need exact composition.","30 point generated asset gate: 26+ approve, 22-25 iterate, 0-21 restart","B+","2026-06-26T04:38:51","images/batch-002/batch-002-02.png","C:\Users\frank\.codex\generated_images\019efff6-c6f7-78b3-98fd-4a276a1d0e0c\ig_0e64470b3faaf42f016a3de4bdf0dc8191b61dcd3faf87e80b.png","prompts.jsonl#batch-002-02","Seven Academy Houses visual crest sheet: Lumina, Nero, Pyros, Aqualis, Terra, Ventus, Synthesis.","Excellent crest sheet: seven readable houses, strong marks, and vector-friendly structure.","Strongest system asset, but logo/crest work must become vector-first before approval.","Trace and simplify each crest into one-color vector masters.","","built-in image_gen"
