id,ts,run,batch,engine,harness,model,request_id,prompt_file,asset_path,use_case,world,characters,canon_refs,aspect_ratio,channel_targets,rights_status,gate_30_score,gate_verdict,ship_status,failure_modes,next_improvement
arc-visual-001,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1,gpt-image-2,codex,built-in-image_gen,,prompt-bank.json#arc-visual-001,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-001-genesis-proof-forge-first-call.png,website-hero-social-16x9,main-storyline,Shinkami,CANON_LOCKED.md|Arcanea brand pack|The Drift|Genesis proof loop,16:9,website-hero-social-16x9,generated-owned,26,approve-with-crop-check,iterate,minor pseudo-diagram detail on side codex pages|needs desktop/mobile crop proof before public hero use,Regenerate or crop with blank side pages if used as public first-viewport hero.
arc-visual-002,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1,gpt-image-2,codex,built-in-image_gen,,prompt-bank.json#arc-visual-002,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-002-the-drift-vs-proof-ledger.png,tiktok-reels-shorts-hook-9x16,main-storyline,Alera,Arcanea brand pack|The Drift|Chosen responsibility,9:16,tiktok-reels-shorts-hook-9x16,generated-owned,23,iterate,iterate,pseudo-writing on ledger pages and paper fragments|too many small debris details for clean overlay,Use 002b instead for candidate treatment.
arc-visual-004,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1,gpt-image-2,codex,built-in-image_gen,,prompt-bank.json#arc-visual-004,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-004-lyssandria-kaelith-foundation-gate.png,character-portal-4x5,guardian-godbeast,Lyssandria,CANON_LOCKED.md Ten Gates|Lyssandria|Kaelith|Foundation Gate,4:5,character-portal-4x5,generated-owned,24,iterate,iterate,Lyssandria reads as polished fantasy armor/cosplay|needs stronger AI-lab myth-tech posture,Use 004b as improved candidate; next pass should de-dragon Kaelith.
arc-visual-018,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1,gpt-image-2,codex,built-in-image_gen,,prompt-bank.json#arc-visual-018,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-018-world-tower-dragon-habitat.png,tiktok-reels-shorts-9x16,mega-scale-world,Lyssandria,Arcanea visual doctrine|Scale worlds|Living habitats,9:16,tiktok-reels-shorts-9x16,generated-owned,28,approve,iterate,high saturation may need social crop/color pass,Create 4:5 and 1:1 crops plus a deterministic hook overlay test.
arc-visual-020,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1,gpt-image-2,codex,built-in-image_gen,,prompt-bank.json#arc-visual-020,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-020-webtoon-first-trial-panel.png,webtoon-vertical-9x16,webtoon,Alera,Arcanea chosen responsibility|Genesis proof loop,9:16,webtoon-vertical-9x16,generated-owned,24,iterate,iterate,foreground pages contain pseudo-diagrams|lower crop too busy for public webtoon source,Use 020b instead for candidate treatment.
arc-visual-024,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1,gpt-image-2,codex,built-in-image_gen,,prompt-bank.json#arc-visual-024,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-024-one-proof-artifact-against-the-drift.png,x-youtube-og-16x9,social-og,Shinkami,The Drift|Proof artifact|Arcanea Method,16:9,x-youtube-og-16x9,generated-owned,25,iterate,iterate,tiny pseudo-runes on artifact dial|background cards look like unreadable media fragments,Use 024b instead for candidate treatment.
arc-visual-002b,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1-revisions,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b1.json#arc-visual-002b,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-002b-the-drift-vs-proof-ledger-blank.png,tiktok-reels-shorts-hook-9x16,main-storyline,Alera,Arcanea brand pack|The Drift|Chosen responsibility,9:16,tiktok-reels-shorts-hook-9x16,generated-owned,27,approve,iterate,bottom fragments still need small-size check,Test caption overlay and crop bottom if fragments read as fake UI.
arc-visual-024b,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1-revisions,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b1.json#arc-visual-024b,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-024b-clean-proof-artifact-og.png,x-youtube-og-16x9,social-og,Shinkami,The Drift|Proof artifact|Arcanea Method,16:9,x-youtube-og-16x9,generated-owned,28,approve,iterate,floor geometry needs contrast check behind overlay,Build deterministic OG/YouTube/X overlay mockups.
arc-visual-020b,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1-revisions,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b1.json#arc-visual-020b,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-020b-webtoon-first-trial-clean.png,webtoon-vertical-9x16,webtoon,Alera,Arcanea chosen responsibility|Genesis proof loop,9:16,webtoon-vertical-9x16,generated-owned,27,approve,iterate,single character type; needs diversity and sequence expansion,Create three-panel webtoon continuation and alternate character variants.
arc-visual-004b,2026-07-06T02:32:00+02:00,run-2026-07-06-god-mode,b1-revisions,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b1.json#arc-visual-004b,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-004b-lyssandria-kaelith-mythtech.png,character-portal-4x5,guardian-godbeast,Lyssandria,CANON_LOCKED.md Ten Gates|Lyssandria|Kaelith|Foundation Gate,4:5,character-portal-4x5,generated-owned,26,approve-with-canon-caution,iterate,Kaelith remains dragon-adjacent|Guardian still more figure portrait than product-world portal,Make Kaelith mountain-tortoise/root-stone/gravity beast in next Guardian pass.
